Origin/Destination,start station name,Route,start station latitude,start station longitude
Destination,Brunswick & 6th,Harborside_to_Brunswick & 6th,40.72601173,-74.05038893
Origin,Harborside,Harborside_to_Brunswick St,40.7192517,-74.034234
Destination,Brunswick St,Harborside_to_Brunswick St,40.7241765,-74.0506564
Origin,Harborside,Harborside_to_Christ Hospital,40.7192517,-74.034234
Destination,Christ Hospital,Harborside_to_Christ Hospital,40.73478582,-74.05044364
Origin,Harborside,Harborside_to_City Hall,40.7192517,-74.034234
Destination,City Hall,Harborside_to_City Hall,40.7177325,-74.043845
Origin,Harborside,Harborside_to_Columbus Drive,40.7192517,-74.034234
Destination,Columbus Drive,Harborside_to_Columbus Drive,40.7183552,-74.03891444
Origin,Harborside,Harborside_to_Communipaw & Berry Lane,40.7192517,-74.034234
Destination,Communipaw & Berry Lane,Harborside_to_Communipaw & Berry Lane,40.71435837,-74.06661093
Origin,Harborside,Harborside_to_Dey St,40.7192517,-74.034234
Destination,Dey St,Harborside_to_Dey St,40.737711,-74.066921
Origin,Harborside,Harborside_to_Dixon Mills,40.7192517,-74.034234
Destination,Dixon Mills,Harborside_to_Dixon Mills,40.72163014,-74.04996783
Origin,Harborside,Harborside_to_E 20 St & FDR Drive,40.7192517,-74.034234
Destination,E 20 St & FDR Drive,Harborside_to_E 20 St & FDR Drive,40.73314259,-73.97573881
Origin,Harborside,Harborside_to_Essex Light Rail,40.7192517,-74.034234
Destination,Essex Light Rail,Harborside_to_Essex Light Rail,40.7127742,-74.0364857
Origin,Harborside,Harborside_to_Exchange Place,40.7192517,-74.034234
Destination,Exchange Place,Harborside_to_Exchange Place,40.7162469,-74.0334588
Origin,Harborside,Harborside_to_Fairmount Ave,40.7192517,-74.034234
Destination,Fairmount Ave,Harborside_to_Fairmount Ave,40.72572614,-74.07195926
Origin,Harborside,Harborside_to_Grand St,40.7192517,-74.034234
Destination,Grand St,Harborside_to_Grand St,40.71517768,-74.03768331
Origin,Harborside,Harborside_to_Grove St PATH,40.7192517,-74.034234
Destination,Grove St PATH,Harborside_to_Grove St PATH,40.71958612,-74.04311746
Origin,Harborside,Harborside_to_Hamilton Park,40.7192517,-74.034234
Destination,Hamilton Park,Harborside_to_Hamilton Park,40.72759597,-74.04424731
Origin,Harborside,Harborside_to_Harborside,40.7192517,-74.034234
Destination,Harborside,Harborside_to_Harborside,40.7192517,-74.034234
Origin,Harborside,Harborside_to_Heights Elevator,40.7192517,-74.034234
Destination,Heights Elevator,Harborside_to_Heights Elevator,40.74871595,-74.0404433
Origin,Harborside,Harborside_to_Hilltop,40.7192517,-74.034234
Destination,Hilltop,Harborside_to_Hilltop,40.7311689,-74.0575736
Origin,Harborside,Harborside_to_Hoboken Ave at Monmouth St,40.7192517,-74.034234
Destination,Hoboken Ave at Monmouth St,Harborside_to_Hoboken Ave at Monmouth St,40.73520838,-74.04696375
